Name,Chain,Address,Lat,Lng,Arktika,Arktika eriti kange,X-TREME,Black
Olerex Maardu,Olerex,"Keemikute 1, Maardu linn, Harjumaa 74111     ",59.4705782,25.0164351,,,,
Olerex Mustvee,Olerex,"Tartu tn 74, Mustvee linn, Jõgevamaa 49604 ",58.8481406,26.9153244,,,,
Olerex Märjamaa Uus tn,Olerex,"Uus tn 6, Märjamaa alev, Raplamaa 78304     ",58.8946388,24.4163907,,,,
Olerex Narva,Olerex,"Tallinna mnt 73, Narva linn, Ida-Virumaa 20606     ",59.3848126,28.1580338,,,,
Olerex Paide Raudtee,Olerex,"Raudtee 37, Paide linn, Järvamaa 72715     ",58.8874598,25.5414031,,,,
Olerex Paide Tallinnamnt,Olerex,"Tallinna 59, Paide linn, Järvamaa 72720",58.8946481,25.57127,,,,
Olerex Põltsamaa,Olerex,"Puhu rist, Tallinn–Tartu–Võru–Luhamaa, 48014 Jõgeva maakond",58.6622694,25.9888978,,,,
Olerex Põlva,Olerex,Olerex Põlva,58.0600244,27.0482754,,,,
Olerex Pärnu Laki,Olerex,"Laki 8, Pärnu linn, Pärnumaa 80010     ",58.3746259,24.552973,,,,
Olerex Pärnu Mai,Olerex,"Mai 6, Pärnu linn, Pärnumaa 80022    ",58.3712402,24.5378633,,,,
Olerex Pärnu Papsaare,Olerex,"Papsaare küla, Pärnumaa 88317     ",58.4061707,24.4237596,,,,
Olerex Pärnu Tallinna mnt,Olerex,"Tallinna mnt. 95, Pärnu linn, Pärnumaa 80043   ",58.4096624,24.4942526,,,,
Olerex Rakvere Piira,Olerex,"Piira, Mäetaguse küla, Vinni vald, Lääne-Virumaa 46607 ",59.3270634,26.3975384,,,,
Olerex Rakvere Põhjakeskus,Olerex,"Haljala tee 17, Tõrramäe küla, Rakvere vald, Lääne-Virumaa 44415  ",59.3621835,26.3347231,,,,
Olerex Rakvere Rägavere 2,Olerex,"Rägavere tee 2, Rakvere linn, Lääne-virumaa 44312    ",59.3452875,26.3684525,,,,
Olerex Rakvere Rägavere 50,Olerex,"Rägavere tee 50, Rakvere linn, Lääne-Virumaa 44312  ",59.3377826,26.3861923,,,,
Olerex Rapla,Olerex,"Kastani 9, Rapla linn, Raplamaa 79514     ",58.9944133,24.7979286,,,,
Olerex Räpina,Olerex,"Vabaduse 2, Räpina linn, Põlvamaa 64506     ",58.1016289,27.4581598,,,,
Olerex Saue,Olerex,"Tule 51, Saue linn, Harjumaa 76505     ",59.3127718,24.5625936,,,,
Olerex Sauga,Olerex,"Jänesselja tn.9, Sauga alevik, Pärnumaa 85008    ",58.4306066,24.498342,,,,
Olerex Sillamäe,Olerex,"Tallinna mnt 9, Sillamäe linn, Ida-Virumaa 40233     ",59.3910492,27.773484,,,,
Olerex Sindi,Olerex,"Ringi 5c, Sindi linn, Pärnumaa 86703   ",58.4047085,24.6603776,,,,
Olerex Soe,Olerex,"Soe küla, Tarvastu vald, Viljandimaa 69712     ",58.2103398,25.9362835,,,,
Olerex Suure-Jaaniautomaat/pood,Olerex,"Jaama 31, Suure-Jaani linn, Suure-Jaani vald, Viljandimaa 71502     ",58.5364099,25.4845293,,,,
Olerex Tallinn Ahtri,Olerex,"Ahtri 6B, Tallinn, Harjumaa 10151     ",59.4397247,24.7594441,,,,
Olerex Tallinn Harkujärve,Olerex,"Paldiski maantee 150, Harkujärve küla, Harku vald, Harjumaa 76912     ",59.4073642,24.6177305,,,,
Olerex Tallinn Kadaka tankla,Olerex,"CM56+MF Tallinn, Harju maakond",59.4091875,24.6611875,,,,
Olerex Tallinn Kivila,Olerex,"Kivila 28, Tallinn, Harjumaa 13917     ",59.4435162,24.874834,,,,
Olerex Tallinn Laagna,Olerex,"Laagna Tee 13, Tallinn, Harjumaa 13618     ",59.4362423,24.8092307,,,,
Olerex Tallinn Laki,Olerex,"Laki 29, Tallinn, Harjumaa 12915  ",59.4099676,24.6755034,,,,
Olerex Tallinn Linnu tee,Olerex,"Linnu tee 64, Tallinn 13418",59.4128367,24.708874,,,,
